"measurement_id","nodeName","nodeLabel","nodeTitle","Alt1RefId","Alt2RefId","Alt3RefId","nodeSpecies","NodeDataType","Pipeline"
"APOC2_proteomics","ENSP00000466775","APOC2 : P02655","APOC2 [ENSP00000466775]","P02655","ENST00000590360","ENSG00000234906","Protein","proteomics","proteomics"
"APOC3_proteomics","ENSP00000227667","APOC3 : P02656","APOC3 [ENSP00000227667]","P02656","ENST00000227667","ENSG00000110245","Protein","proteomics","proteomics"
"FGA_proteomics","ENSP00000498441","FGA : P02671","FGA [ENSP00000498441]","P02671","ENST00000651975","ENSG00000171560","Protein","proteomics","proteomics"
"FGB_proteomics","ENSP00000306099","FGB : P02675","FGB [ENSP00000306099]","P02675","ENST00000302068","ENSG00000171564","Protein","proteomics","proteomics"
"FGG_proteomics","ENSP00000336829","FGG : P02679","FGG [ENSP00000336829]","P02679","ENST00000336098","ENSG00000171557","Protein","proteomics","proteomics"
"SLC4A1_proteomics","ENSP00000262418","SLC4A1 : P02730","SLC4A1 [ENSP00000262418]","P02730","ENST00000262418","ENSG00000004939","Protein","proteomics","proteomics"
"APCS_proteomics","ENSP00000255040","APCS : P02743","APCS [ENSP00000255040]","P02743","ENST00000255040","ENSG00000132703","Protein","proteomics","proteomics"
"C1QA_proteomics","ENSP00000363773","C1QA : P02745","C1QA [ENSP00000363773]","P02745","ENST00000374642","ENSG00000173372","Protein","proteomics","proteomics"
"C1QB_proteomics",,"C1QB : P02746","C1QB [ENSP?]","P02746",,,"Protein","proteomics","proteomics"
"C1QC_proteomics","ENSP00000363768,ENSP00000363770","C1QC : P02747","C1QC [ENSP00000363768],C1QC [ENSP00000363770]","P02747","ENST00000374637,ENST00000374639","ENSG00000159189","Protein","proteomics","proteomics"
"C9_proteomics","ENSP00000263408","C9 : P02748","C9 [ENSP00000263408]","P02748","ENST00000263408","ENSG00000113600","Protein","proteomics","proteomics"
"APOH_proteomics","ENSP00000205948","APOH : P02749","APOH [ENSP00000205948]","P02749","ENST00000205948","ENSG00000091583","Protein","proteomics","proteomics"
"LRG1_proteomics","ENSP00000302621","LRG1 : P02750","LRG1 [ENSP00000302621]","P02750","ENST00000306390","ENSG00000171236","Protein","proteomics","proteomics"
"FN1_proteomics","ENSP00000346839","FN1 : P02751","FN1 [ENSP00000346839]","P02751","ENST00000354785","ENSG00000115414","Protein","proteomics","proteomics"
"RBP4_proteomics","ENSP00000360519,ENSP00000360522","RBP4 : P02753","RBP4 [ENSP00000360519],RBP4 [ENSP00000360522]","P02753","ENST00000371464,ENST00000371467","ENSG00000138207","Protein","proteomics","proteomics"
"AMBP_proteomics","ENSP00000265132","AMBP : P02760","AMBP [ENSP00000265132]","P02760","ENST00000265132","ENSG00000106927","Protein","proteomics","proteomics"
"ORM1_proteomics","ENSP00000259396","ORM1 : P02763","ORM1 [ENSP00000259396]","P02763","ENST00000259396","ENSG00000229314","Protein","proteomics","proteomics"
"AHSG_proteomics","ENSP00000393887","AHSG : P02765","AHSG [ENSP00000393887]","P02765","ENST00000411641","ENSG00000145192","Protein","proteomics","proteomics"
"TTR_proteomics","ENSP00000237014","TTR : P02766","TTR [ENSP00000237014]","P02766","ENST00000237014","ENSG00000118271","Protein","proteomics","proteomics"
"ALB_proteomics","ENSP00000295897","ALB : P02768","ALB [ENSP00000295897]","P02768","ENST00000295897","ENSG00000163631","Protein","proteomics","proteomics"
"GC_proteomics","ENSP00000421725","GC : P02774","GC [ENSP00000421725]","P02774","ENST00000504199","ENSG00000145321","Protein","proteomics","proteomics"
"PPBP_proteomics","ENSP00000296028","PPBP : P02775","PPBP [ENSP00000296028]","P02775","ENST00000296028","ENSG00000163736","Protein","proteomics","proteomics"
"PF4_proteomics","ENSP00000296029","PF4 : P02776","PF4 [ENSP00000296029]","P02776","ENST00000296029","ENSG00000163737","Protein","proteomics","proteomics"
"TFRC_proteomics","ENSP00000353224,ENSP00000376197","TFRC : P02786","TFRC [ENSP00000353224],TFRC [ENSP00000376197]","P02786","ENST00000360110,ENST00000392396","ENSG00000072274","Protein","proteomics","proteomics"
"TF_proteomics","ENSP00000385834","TF : P02787","TF [ENSP00000385834]","P02787","ENST00000402696","ENSG00000091513","Protein","proteomics","proteomics"
"HPX_proteomics","ENSP00000265983","HPX : P02790","HPX [ENSP00000265983]","P02790","ENST00000265983","ENSG00000110169","Protein","proteomics","proteomics"
"F11_proteomics","ENSP00000384957","F11 : P03951","F11 [ENSP00000384957]","P03951","ENST00000403665","ENSG00000088926","Protein","proteomics","proteomics"
"KLKB1_proteomics","ENSP00000264690","KLKB1 : P03952","KLKB1 [ENSP00000264690]","P03952","ENST00000264690","ENSG00000164344","Protein","proteomics","proteomics"
"C4BPA_proteomics","ENSP00000356037","C4BPA : P04003","C4BPA [ENSP00000356037]","P04003","ENST00000367070","ENSG00000123838","Protein","proteomics","proteomics"
"VTN_proteomics","ENSP00000226218","VTN : P04004","VTN [ENSP00000226218]","P04004","ENST00000226218","ENSG00000109072","Protein","proteomics","proteomics"
"PROC_proteomics","ENSP00000234071","PROC : P04070","PROC [ENSP00000234071]","P04070","ENST00000234071","ENSG00000115718","Protein","proteomics","proteomics"
"APOB_proteomics","ENSP00000233242","APOB : P04114","APOB [ENSP00000233242]","P04114","ENST00000233242","ENSG00000084674","Protein","proteomics","proteomics"
"LCAT_proteomics","ENSP00000264005","LCAT : P04180","LCAT [ENSP00000264005]","P04180","ENST00000264005","ENSG00000213398","Protein","proteomics","proteomics"
"HRG_proteomics","ENSP00000232003","HRG : P04196","HRG [ENSP00000232003]","P04196","ENST00000232003","ENSG00000113905","Protein","proteomics","proteomics"
"IGKV3.15_proteomics",,"IGKV3.15 : P04207","IGKV3.15 [ENSP?]","P04207",,,"Protein","proteomics","proteomics"
"IGLV7.43_proteomics",,"IGLV7.43 : P04211","IGLV7.43 [ENSP?]","P04211",,,"Protein","proteomics","proteomics"
"A1BG_proteomics","ENSP00000263100","A1BG : P04217","A1BG [ENSP00000263100]","P04217","ENST00000263100","ENSG00000121410","Protein","proteomics","proteomics"
